StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,MTurkID,Sports_Filter,attention_check_1,attention_check_2_1,attention_check_2_2,Control_time_First Click,Control_time_Last Click,Control_time_Page Submit,Control_time_Click Count,Reduced_time_First Click,Reduced_time_Last Click,Reduced_time_Page Submit,Reduced_time_Click Count,Ranking_time_First Click,Ranking_time_Last Click,Ranking_time_Page Submit,Ranking_time_Click Count,Categorization_time_First Click,Categorization_time_Last Click,Categorization_time_Page Submit,Categorization_time_Click Count,Buffer_time_First Click,Buffer_time_Last Click,Buffer_time_Page Submit,Buffer_time_Click Count,Buffer_list,Count,Buffer_words_correct,Buffer_list_time_First Click,Buffer_list_time_Last Click,Buffer_list_time_Page Submit,Buffer_list_time_Click Count,Initial_Retention,Valued_Retention,Renewal Liklihood_1,Gender,Age,Race,Education,Bonus_Survey,Save MTurk,mturkcode,condition,label,reduced_list,ranking,categorization
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This study is part of a research study conducted by Professor George Loewenstein at Carnegie Mellon University. 
The purpose of the research is to understand human judgment and decision making. 


ProceduresIn this study, you will be exposed to stimuli and we will record the judgments and decisions that you will make. We will ask you to make judgments or decisions about things that you are likely to encounter in your everyday life. For example, you may be exposed to words, pictures, sounds, or movies. You may be asked to play economic games by yourself or with other people, or perform motor coordination tasks. No stimuli will be more graphic or emotionally evocative than a R-rated film. In the experiment, you may perform a task alone or together with a person or a computer program. 


Participant RequirementsParticipation in this study is limited to individuals age 18 and older.


RisksThe risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during mild physical activity, such as when surfing the Internet or watching YouTube. You may see movies or video clips with content similar that is equivalent in nature to an R-rated film or available on Youtube.com.


BenefitsThere may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.


Compensation & CostsYou will receive the payment as advertised on mTURK or the CBDR Participant Pool website for your participation.  

There will be no cost to you if you participate in this study


ConfidentialityBy participating in this research, you understand and agree that Carnegie Mellon may be required to disclose your consent form, data and other personally identifiable information as required by law, regulation, subpoena or court order.  Otherwise, your confidentiality will be maintained in the following manner:


The researchers will take the following steps to protect participants’ identities during this study: (1) Each participant will be assigned a number; (2) The researchers will record any data collected during the study by number, not by name; (3) Any original recordings or data files will be stored in a secured location accessed only by authorized researchers. (4) IP addresses will be deleted before any data is analyzed. 

Right to Ask Questions & Contact Information
If you have any questions about this study, you should feel free to ask them by contacting the Principal Investigator now at Dr. George Loewenstein, Carnegie Mellon University, Social and Decision Sciences, 319 Porter Hall, 5000 Forbes Ave., Pittsburgh, PA 15213, 412-268-8787, gloew@andrew.cmu.edu.  If you have questions later, desire additional information, or wish to withdraw your participation please contact the Principal Investigator by mail, phone or e-mail in accordance with the contact information listed above.  


If you have questions pertaining to your rights as a research participant; or to report objections to this study, you should contact the Research Regulatory Compliance Office at Carnegie Mellon University.  Email: irb-review@andrew.cmu.edu. Phone: 412-268-1901 or 412-268-5460.

The Carnegie Mellon University Institutional Review Board (IRB) has approved the use of human participants for this study. 

Voluntary ParticipationYour participation in this research is voluntary.  You may discontinue participation at any time during the research activity. - I am age 18 or older.","This study is part of a research study conducted by Professor George Loewenstein at Carnegie Mellon University. 
The purpose of the research is to understand human judgment and decision making. 


ProceduresIn this study, you will be exposed to stimuli and we will record the judgments and decisions that you will make. We will ask you to make judgments or decisions about things that you are likely to encounter in your everyday life. For example, you may be exposed to words, pictures, sounds, or movies. You may be asked to play economic games by yourself or with other people, or perform motor coordination tasks. No stimuli will be more graphic or emotionally evocative than a R-rated film. In the experiment, you may perform a task alone or together with a person or a computer program. 


Participant RequirementsParticipation in this study is limited to individuals age 18 and older.


RisksThe risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during mild physical activity, such as when surfing the Internet or watching YouTube. You may see movies or video clips with content similar that is equivalent in nature to an R-rated film or available on Youtube.com.


BenefitsThere may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.


Compensation & CostsYou will receive the payment as advertised on mTURK or the CBDR Participant Pool website for your participation.  

There will be no cost to you if you participate in this study


ConfidentialityBy participating in this research, you understand and agree that Carnegie Mellon may be required to disclose your consent form, data and other personally identifiable information as required by law, regulation, subpoena or court order.  Otherwise, your confidentiality will be maintained in the following manner:


The researchers will take the following steps to protect participants’ identities during this study: (1) Each participant will be assigned a number; (2) The researchers will record any data collected during the study by number, not by name; (3) Any original recordings or data files will be stored in a secured location accessed only by authorized researchers. (4) IP addresses will be deleted before any data is analyzed. 

Right to Ask Questions & Contact Information
If you have any questions about this study, you should feel free to ask them by contacting the Principal Investigator now at Dr. George Loewenstein, Carnegie Mellon University, Social and Decision Sciences, 319 Porter Hall, 5000 Forbes Ave., Pittsburgh, PA 15213, 412-268-8787, gloew@andrew.cmu.edu.  If you have questions later, desire additional information, or wish to withdraw your participation please contact the Principal Investigator by mail, phone or e-mail in accordance with the contact information listed above.  


If you have questions pertaining to your rights as a research participant; or to report objections to this study, you should contact the Research Regulatory Compliance Office at Carnegie Mellon University.  Email: irb-review@andrew.cmu.edu. Phone: 412-268-1901 or 412-268-5460.

The Carnegie Mellon University Institutional Review Board (IRB) has approved the use of human participants for this study. 

Voluntary ParticipationYour participation in this research is voluntary.  You may discontinue participation at any time during the research activity. - I have read and understand the information above.","This study is part of a research study conducted by Professor George Loewenstein at Carnegie Mellon University. 
The purpose of the research is to understand human judgment and decision making. 


ProceduresIn this study, you will be exposed to stimuli and we will record the judgments and decisions that you will make. We will ask you to make judgments or decisions about things that you are likely to encounter in your everyday life. For example, you may be exposed to words, pictures, sounds, or movies. You may be asked to play economic games by yourself or with other people, or perform motor coordination tasks. No stimuli will be more graphic or emotionally evocative than a R-rated film. In the experiment, you may perform a task alone or together with a person or a computer program. 


Participant RequirementsParticipation in this study is limited to individuals age 18 and older.


RisksThe risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during mild physical activity, such as when surfing the Internet or watching YouTube. You may see movies or video clips with content similar that is equivalent in nature to an R-rated film or available on Youtube.com.


BenefitsThere may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.


Compensation & CostsYou will receive the payment as advertised on mTURK or the CBDR Participant Pool website for your participation.  

There will be no cost to you if you participate in this study


ConfidentialityBy participating in this research, you understand and agree that Carnegie Mellon may be required to disclose your consent form, data and other personally identifiable information as required by law, regulation, subpoena or court order.  Otherwise, your confidentiality will be maintained in the following manner:


The researchers will take the following steps to protect participants’ identities during this study: (1) Each participant will be assigned a number; (2) The researchers will record any data collected during the study by number, not by name; (3) Any original recordings or data files will be stored in a secured location accessed only by authorized researchers. (4) IP addresses will be deleted before any data is analyzed. 

Right to Ask Questions & Contact Information
If you have any questions about this study, you should feel free to ask them by contacting the Principal Investigator now at Dr. George Loewenstein, Carnegie Mellon University, Social and Decision Sciences, 319 Porter Hall, 5000 Forbes Ave., Pittsburgh, PA 15213, 412-268-8787, gloew@andrew.cmu.edu.  If you have questions later, desire additional information, or wish to withdraw your participation please contact the Principal Investigator by mail, phone or e-mail in accordance with the contact information listed above.  


If you have questions pertaining to your rights as a research participant; or to report objections to this study, you should contact the Research Regulatory Compliance Office at Carnegie Mellon University.  Email: irb-review@andrew.cmu.edu. Phone: 412-268-1901 or 412-268-5460.

The Carnegie Mellon University Institutional Review Board (IRB) has approved the use of human participants for this study. 

Voluntary ParticipationYour participation in this research is voluntary.  You may discontinue participation at any time during the research activity. - I want to participate in this research and continue with the study.",MTurk ID:,How many sporting events have you attended in the past 5 years?,"What is your favorite animal? (If you are paying attention, please choose ""Other"")",How much do you enjoy reading? (If you are paying attention select 70 for option 1 and 50 for Option 2) - Option 1,How much do you enjoy reading? (If you are paying attention select 70 for option 1 and 50 for Option 2) - Option 2,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please list as many words as you remember from the previous page. The order is not important.,,,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please select all of the benefits you remember from Minnesota Wild season tickets. You will receive an extra $0.05 for every benefit correctly remembered and will lose $0.05 for every incorrect benefit. If you get more benefits wrong than right, you will not lose any money.",Select all of the benefits you would find valuable in a season ticket pass,"Given all of the benefits offered, how likely would you be to renew your season ticket pass? - Likelihood",What is your gender?,Age:,What is your race/ethnicity?,What is your highest completed education level?,"At the end of the study, you will have an opportunity to answer one more question for a chance of a bonus payment.",Have you saved your MTURK Code?,mturkcode,condition,label,reduced_list,ranking,categorization
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID7""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID35_FIRST_CLICK""}","{""ImportId"":""QID35_LAST_CLICK""}","{""ImportId"":""QID35_PAGE_SUBMIT""}","{""ImportId"":""QID35_CLICK_COUNT""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID14_TEXT""}",,,"{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50""}","{""ImportId"":""mturkcode""}","{""ImportId"":""condition""}","{""ImportId"":""label""}","{""ImportId"":""reduced_list""}","{""ImportId"":""ranking""}","{""ImportId"":""categorization""}"
2021-11-08 13:34:22,2021-11-08 13:34:22,Survey Test,,100,0,1,2021-11-08 13:34:22,R_6VwnY820BBqmNbo,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,More than 10,Other,100,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671218,0,control,0,0,0
2021-11-08 13:34:22,2021-11-08 13:34:22,Survey Test,,100,0,1,2021-11-08 13:34:22,R_8nQlPXclDCBj834,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,More than 10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29125,1,reduced_list,1,0,0
2021-11-08 13:34:22,2021-11-08 13:34:23,Survey Test,,100,1,1,2021-11-08 13:34:23,R_cu92PO88x0LaS1w,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26667,2,ranking,0,1,0
2021-11-08 13:34:23,2021-11-08 13:34:23,Survey Test,,100,0,1,2021-11-08 13:34:23,R_43f3hkH36sf3qhU,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496128,,,,,
2021-11-08 13:34:23,2021-11-08 13:34:23,Survey Test,,100,0,1,2021-11-08 13:34:23,R_8D5wL6EfFU1q9wO,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962251,0,control,0,0,0
2021-11-08 13:34:23,2021-11-08 13:34:23,Survey Test,,100,0,1,2021-11-08 13:34:23,R_5dbqeuNEvwN7vFk,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,More than 10,Other,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646643,3,categorization,0,0,1
2021-11-08 13:34:23,2021-11-08 13:34:23,Survey Test,,100,0,1,2021-11-08 13:34:23,R_5137CgHcNmxxZ6C,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,5-10,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585479,3,categorization,0,0,1
2021-11-08 13:34:23,2021-11-08 13:34:23,Survey Test,,100,0,1,2021-11-08 13:34:23,R_79uUXXsaEMH1zN4,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,1-5,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21061,2,ranking,0,1,0
