StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Sports_Filter,Consent_1,Consent_2,Consent_3,MTurk_ID,Age,Female,Female_2_TEXT,Race,Education ,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Presurvey Ranking_1,Presurvey Ranking_2,Presurvey Ranking_3,Presurvey Ranking_4,Presurvey Ranking_5,Presurvey Ranking_6,Presurvey Ranking_7,Presurvey Ranking_8,Presurvey Ranking_9,Presurvey Ranking_10,Presurvey Ranking_11,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Goals_Ranked,BDM_1,BDM_2,BDM_3,BDM_4,BDM_5,BDM_6,BDM_7,BDM_8,BDM_9,BDM_10,BDM_11,BDM_12,BDM_13,BDM_14,BDM_15,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Teams,mTurkCode
Start,End,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Sports Filter,older 18,consent,consent2,MTurk ID:,Age:,Gender,Gender - Other,Race,Education,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Same seat guarantee,Playoff access,4Ever Wild Rewards,Hockey lodge discount,Additional tickets purchased at a discount with member price,Easy ticket resale through My Wild Account,Member events,Personal service executive,Right of first refusal for Xcel Energy Center concerts and events,Prepaid parking passes,Interest free payment plans,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How many goals were ranked in the video you just watched?,"For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.10 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.20 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.30 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.40 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.50 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.60 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.70 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.80 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $0.90 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.00 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.10 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.20 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.30 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.40 to watch 5 min. of hockey highlights","For each row, indicate if you would be willing to watch an additional 5 minutes of hockey highlights at that level of payment. 
 

On the next page, we will draw a number between 0 and 1.50. 


	If the number we draw is an amount you indicated ""yes"" to, then you will receive that amount of money to watch an additional 5 minutes of hockey highlights. 
	If the number we draw is an amount you indicated ""no"" to, then you will receive no additional money and you will not watch more hockey highlights. - Receive $1.50 to watch 5 min. of hockey highlights",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please select the names of the teams that appeared in the video you just watched,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_3_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_13""}","{""ImportId"":""QID9_14""}","{""ImportId"":""QID9_15""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID28""}","{""ImportId"":""mTurkCode""}"
10/25/2021 10:58,10/25/2021 10:58,Survey Preview,,100,13,TRUE,10/25/2021 10:58,R_WdDQffEbqcZ3ITT,,,,,40.44419861,-79.95570374,preview,EN,,,,,,,,,,,,,,,2,5,1,8,4,9,3,7,10,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021 11:06,10/25/2021 11:07,Survey Preview,,100,40,TRUE,10/25/2021 11:07,R_b3GKm72i3pZdhpn,,,,,40.44419861,-79.95570374,preview,EN,,,,,,,,,,,,,,,4,9,2,10,6,5,3,11,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021 16:30,10/25/2021 16:35,Survey Preview,,100,304,TRUE,10/25/2021 16:35,R_2f80R53stsympWM,,,,,40.43240356,-79.92469788,preview,EN,,,,,,,,,,,,,,,5,1,10,11,2,7,3,6,8,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2021 9:46,10/27/2021 9:46,Survey Preview,,100,8,TRUE,10/27/2021 9:46,R_3R7yS4Hlb2RiFMD,,,,,40.44419861,-79.95570374,preview,EN,,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021 14:28,10/29/2021 14:28,Survey Preview,,100,2,TRUE,10/29/2021 14:28,R_3lVLjfKoOIBttvD,,,,,40.43240356,-79.92469788,preview,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2021 20:23,10/31/2021 20:23,Survey Preview,,100,3,TRUE,10/31/2021 20:23,R_OPuO3jVvkUNY4nv,,,,,40.43240356,-79.92469788,preview,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2021 20:23,10/31/2021 20:33,Survey Preview,,100,582,TRUE,10/31/2021 20:33,R_RCaN9QlLenlqF0J,,,,,40.43240356,-79.92469788,preview,EN,10-May,Yes,Yes,Yes,test,28,Female,,Other,Graduate Degree,3.25,3.25,24.38,1,7,1,11,3,10,5,6,9,8,2,4,5.237,5.237,326.138,1,10,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,34925
11/1/2021 8:20,11/1/2021 8:27,IP Address,128.2.149.108,100,416,TRUE,11/1/2021 8:27,R_3LhZ4RQJ9kC8JwB,,,,,40.4394989,-79.94300079,anonymous,EN,10-May,Yes,Yes,Yes,test,99,Other,test,Asian,Graduate Degree,0,0,24.976,0,7,3,5,11,2,8,10,9,1,4,6,0,0,303.038,0,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,380641
